id,variant_group,variant_num,chapter,chapter_label,chapter_name,chapter_icon,topic,topic_label,topic_icon,cat,pts,millionaire_val,difficulty,bloom_level,type,standard,learning_objective,tags,enabled,context_paragraph,reaction_equation,reaction_type,data_table,visual_type,visual_params,visual_type_2,visual_params_2,q,option_a,option_b,option_c,option_d,answer,answer_raw,answer_display,answer_sig_figs,tolerance,unit,answer_unit_type,given_keys,given_vals_display,randomizer_type,hint,sol_1,sol_2,sol_3,sol_4,notes,image_url,xp_value,time_limit,true_false_stmt,tf_answer,distractor_note,explanation
tf_002,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Acids produce H⁺ ions in water.,,,,,,,,,,,,,,,,Acids increase the concentration of H⁺ (or H₃O⁺) in water.,,,,,https://,2,0,Acids produce H⁺ ions in water.,TRUE,,
tf_003,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Bases produce OH⁻ ions in water.,,,,,,,,,,,,,,,,Bases increase the concentration of OH⁻ ions in water.,,,,,https://,2,0,Bases produce OH⁻ ions in water.,TRUE,,
tf_004,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,The pH scale is used to measure acidity and basicity.,,,,,,,,,,,,,,,,pH is a measure of the hydrogen ion concentration.,,,,,https://,2,0,The pH scale is used to measure acidity and basicity.,TRUE,,
tf_005,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,p means negative logarithm.,,,,,,,,,,,,,,,,pH = -log[H⁺].,,,,,https://,2,0,p means negative logarithm.,TRUE,,
tf_006,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,pOH is the negative log of hydroxide concentration.,,,,,,,,,,,,,,,,pOH = -log[OH⁻].,,,,,https://,2,0,pOH is the negative log of hydroxide concentration.,TRUE,,
tf_007,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,At 25°C pH + pOH always equals 14.,,,,,,,,,,,,,,,,From Kw = [H⁺][OH⁻] = 1.0 × 10⁻¹⁴,so -log[H⁺] -log[OH⁻] = 14.,,,,https://,2,0,At 25°C pH + pOH always equals 14.,TRUE,,
tf_008,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,A pH of 7 is neutral.,,,,,,,,,,,,,,,,pH = 7 means [H⁺] = [OH⁻] = 10⁻⁷ M.,,,,,https://,2,0,A pH of 7 is neutral.,TRUE,,
tf_009,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Acids have pH < 7.,,,,,,,,,,,,,,,,Lower pH means higher [H⁺] concentration.,,,,,https://,2,0,Acids have pH < 7.,TRUE,,
tf_010,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Bases have pH > 7.,,,,,,,,,,,,,,,,Higher pH means lower [H⁺] and higher [OH⁻].,,,,,https://,2,0,Bases have pH > 7.,TRUE,,
tf_011,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Strong acids fully ionize in aqueous solution.,,,,,,,,,,,,,,,,Examples: HCl,HNO₃,H₂SO₄ ionize 100%.,,,https://,2,0,Strong acids fully ionize in aqueous solution.,TRUE,,
tf_012,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Weak acids are only partially ionized.,,,,,,,,,,,,,,,,Most organic acids and acetic acid are weak.,,,,,https://,2,0,Weak acids are only partially ionized.,TRUE,,
tf_013,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Conjugate bases of strong acids are weak.,,,,,,,,,,,,,,,,Cl⁻ is a very weak base (conjugate of HCl).,,,,,https://,2,0,Conjugate bases of strong acids are weak.,TRUE,,
tf_014,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Amphoteric substances can donate or accept protons.,,,,,,,,,,,,,,,,Water and HCO₃⁻ are common amphoteric species.,,,,,https://,2,0,Amphoteric substances can donate or accept protons.,TRUE,,
tf_015,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Water is amphoteric.,,,,,,,,,,,,,,,,In self-ionization and with other substances.,,,,,https://,2,0,Water is amphoteric.,TRUE,,
tf_016,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Ka = [H⁺][A⁻]/[HA],,,,,,,,,,,,,,,,This is the equilibrium expression for weak acid dissociation.,,,,,https://,2,0,Ka = [H⁺][A⁻]/[HA],TRUE,,
tf_017,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Larger Ka indicates stronger acid.,,,,,,,,,,,,,,,,Higher Ka = greater extent of dissociation.,,,,,https://,2,0,Larger Ka indicates stronger acid.,TRUE,,
tf_018,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,pKa = -log Ka,,,,,,,,,,,,,,,,Lower pKa = stronger acid.,,,,,https://,2,0,pKa = -log Ka,TRUE,,
tf_019,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Kw = 1.0 × 10^{-14} at 25°C,,,,,,,,,,,,,,,,Kw = [H⁺][OH⁻] = 1.0 × 10⁻¹⁴.,,,,,https://,2,0,Kw = 1.0 × 10^{-14} at 25°C,TRUE,,
tf_020,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,In neutral water [H⁺] = [OH⁻] = 10^{-7} M,,,,,,,,,,,,,,,,From Kw = [H⁺][OH⁻] = 10⁻¹⁴.,,,,,https://,2,0,In neutral water [H⁺] = [OH⁻] = 10^{-7} M,TRUE,,
tf_021,,1,ch11,Chapter 11,Acids and Bases,⚗️,equilibrium,Chemical Equilibrium,⚖️,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Equilibrium is dynamic.,,,,,,,,,,,,,,,,Macroscopic properties are constant.,,,,,https://,2,0,Equilibrium is dynamic.,TRUE,,
